批號,供應商,料號,品名,進料數量,判定,檢驗日期
B26010001,弘益金屬,MH25-A001,水錶銅殼 25mm,500,合格,2026-01-05
B26010002,弘益金屬,MH25-A003,砂芯 25mm,300,不合格,2026-01-06
B26010003,弘益金屬,MH25-A001,水錶銅殼 25mm,480,合格,2026-01-12
B26010004,永昌塑膠,MH25-A002,葉輪盒 R80,1200,合格,2026-01-08
B26010005,永昌塑膠,MH25-A002,葉輪盒 R80,1150,合格,2026-01-15
B26010006,永昌塑膠,MH25-A002,葉輪盒 R80,1100,合格,2026-01-22
B26020001,大新橡膠,MH25-B010,O 型環,5000,不合格,2026-02-03
B26020002,大新橡膠,MH25-B010,O 型環,5000,不合格,2026-02-11
B26020003,大新橡膠,MH25-B011,墊片,4000,合格,2026-02-18
B26020004,弘益金屬,MH25-A001,水錶銅殼 25mm,520,合格,2026-02-20
B26030001,永昌塑膠,MH25-A002,葉輪盒 R80,1180,合格,2026-03-04
B26030002,弘益金屬,MH25-A003,砂芯 25mm,320,合格,2026-03-09
B26030003,大新橡膠,MH25-B010,O 型環,4800,合格,2026-03-17
B26030004,永昌塑膠,MH25-A004,錶蓋,900,合格,2026-03-25
